"","name","network","agent","start","end","open","lat","lon"
"1","Kerikeri Ews","A53191",1056,1981-09-30,2024-08-24,TRUE,-35.183,173.926
"2","Kaitaia Ews","A53127",17067,1998-12-17,2024-08-24,TRUE,-35.13352,173.26294
"3","Kaitaia Aero Ews","A53026",18183,2000-02-25,2024-08-24,TRUE,-35.0677,173.2874
"4","Dargaville 2 Ews","A53987",25119,2003-10-30,2024-08-24,TRUE,-35.93145,173.85317
"5","Trounson Cws","A53762",37131,2009-06-05,2024-08-24,TRUE,-35.72035,173.65153
"6","Purerua Aws","A54101",1196,1983-10-04,2024-08-23,TRUE,-35.12544,174.01681
"7","Cape Reinga Aws","A42462",1002,1999-05-18,2024-08-23,TRUE,-34.42964,172.68186
"8","Kerikeri Aerodrome Aws","A53295",37258,2008-06-26,2024-08-23,TRUE,-35.26279,173.91136
"9","Kaitaia Airport Aws","A53028",43952,2019-06-20,2024-08-23,TRUE,-35.06779,173.28628
"10","Kaikohe Aws","A53487",1134,1985-11-30,2024-08-22,TRUE,-35.41722,173.82289
"11","Russell Cws","A54212",41262,2016-04-06,2024-03-23,FALSE,-35.26835,174.136
"12","Kaitaia Observatory","A53125",1041,1985-04-15,2018-03-31,FALSE,-35.13352,173.26294
"13","Kerikeri Aero 2","A53293",1087,1978-03-14,2008-06-24,FALSE,-35.26469,173.91134
"14","Dargaville Ews","A53986",16137,1997-10-20,2002-05-31,FALSE,-35.944,173.835
"15","Te Paki Aws","A42572",22249,2001-08-13,2001-11-22,FALSE,-34.505,172.798
"16","Dargaville 2","A53982",1192,1951-10-17,1999-08-31,FALSE,-35.944,173.835
"17","Whangaruru","A54331",7364,1992-03-23,1994-11-04,FALSE,-35.349,174.326
"18","Whangarei,Whau Vly","A54735",1285,1988-11-30,1993-11-30,FALSE,-35.706,174.294
"19","Waiotemarama","A53541",1138,1977-02-08,1992-11-30,FALSE,-35.531,173.426
"20","Waipoua Visitor Centre","A53651",1155,1950-12-31,1992-03-31,FALSE,-35.653,173.558
"21","Kaitaia 4","A53124",1040,1980-11-30,1989-06-30,FALSE,-35.11,173.259
"22","Dargaville Hospital","A53985",1195,1988-10-12,1988-12-11,FALSE,-35.932,173.872
"23","Panguru","A53331",1090,1986-10-31,1988-08-30,FALSE,-35.383,173.382
"24","Dargaville N.Z.E.D.","A53983",1193,1982-01-12,1988-08-08,FALSE,-35.936,173.876
"25","Cape Reinga","A42461",1001,1970-12-31,1987-07-31,FALSE,-34.431,172.679
"26","Kerikeri Downs 2","A53193",1058,1984-08-04,1987-04-30,FALSE,-35.179,173.935
"27","Aupouri Forest","A53024",1027,1970-12-31,1987-03-30,FALSE,-35.013,173.196
"28","Waitangi Forest","A54201",1198,1970-12-31,1986-07-31,FALSE,-35.258,174.071
"29","Kaikohe D.S.I.R.","A53482",1129,1972-12-31,1986-02-28,FALSE,-35.424,173.823
"30","Pangaru 2","A53432",1107,1984-06-06,1986-02-28,FALSE,-35.402,173.363
"31","Kerikeri Downs","A53192",1057,1981-09-30,1985-12-30,FALSE,-35.179,173.935
"32","Kaitaia Aero","A53021",1024,1948-11-30,1985-05-02,FALSE,-35.067,173.287
"33","Umawera","A53352",1092,1971-12-31,1985-03-31,FALSE,-35.296,173.566
"34","Umawera, Te Tio Road","A53354",1094,1977-12-31,1982-04-30,FALSE,-35.313,173.548
"35","Kaitaia 3","A53123",1039,1970-12-31,1979-10-31,FALSE,-35.108,173.258
"36","Puketurua Northland","A54601",1246,1970-12-31,1975-12-31,FALSE,-35.673,174.08
"37","Punakitere","A53461",1113,1970-12-31,1975-05-31,FALSE,-35.441,173.67
"38","Kerikeri 1","A53291",1085,1951-12-31,1973-12-31,FALSE,-35.23,173.948
"39","Te Paki Stn, Te Hapua","A42581",1005,1971-01-01,1973-09-30,FALSE,-34.508,172.795
"40","Waipapakauri Aero","A53023",1026,1942-10-04,1948-11-16,FALSE,-35.033,173.233
"41","Leigh 2 Ews","A64282",1340,1966-07-31,2024-08-24,TRUE,-36.26925,174.7992
"42","Kerikeri Ews","A53191",1056,1981-09-30,2024-08-24,TRUE,-35.183,173.926
"43","Warkworth Ews","A64464",17838,1999-11-03,2024-08-24,TRUE,-36.43435,174.66766
"44","Dargaville 2 Ews","A53987",25119,2003-10-30,2024-08-24,TRUE,-35.93145,173.85317
"45","Trounson Cws","A53762",37131,2009-06-05,2024-08-24,TRUE,-35.72035,173.65153
"46","Auckland, North Shore Albany Ews","A64776",37852,2009-12-23,2024-08-24,TRUE,-36.74827,174.71377
"47","Whangarei Ews","A54738",40980,2015-08-14,2024-08-24,TRUE,-35.7444,174.32868
"48","Auckland, Motat Ews","A6487G",41351,2016-02-13,2024-08-24,TRUE,-36.86297,174.71185
"49","Purerua Aws","A54101",1196,1983-10-04,2024-08-23,TRUE,-35.12544,174.01681
"50","Whangarei Aero Aws","A54737",1287,1990-08-09,2024-08-23,TRUE,-35.77062,174.36285
"51","Mokohinau Island Aws","A55912",9654,1993-12-09,2024-08-23,TRUE,-35.90293,175.11537
"52","Whangaparaoa Aws","A64683",1400,1999-09-30,2024-08-23,TRUE,-36.60268,174.83458
"53","Auckland, Whenuapai Aws","A64762",23976,2005-02-18,2024-08-23,TRUE,-36.78698,174.63045
"54","Kerikeri Aerodrome Aws","A53295",37258,2008-06-26,2024-08-23,TRUE,-35.26279,173.91136
"55","Kaikohe Aws","A53487",1134,1985-11-30,2024-08-22,TRUE,-35.41722,173.82289
"56","Tiri Tiri Lighthouse","A64691",1401,1982-01-02,2024-07-31,TRUE,-36.6056,174.8977
"57","Auckland, Henderson North","A64863",1423,1985-10-31,2024-07-31,TRUE,-36.85539,174.62383
"58","Russell Cws","A54212",41262,2016-04-06,2024-03-23,FALSE,-35.26835,174.136
"59","Auckland, Sky Tower","A6487E",39915,2019-09-09,2022-05-10,FALSE,-36.85004,174.76242
"60","North Shore, Auckland Regional Council","A64775",12328,1994-11-12,2017-06-29,FALSE,-36.786,174.736
"61","Lincoln Rd, Auckland Regional Council","A64866",22166,2001-07-18,2017-06-29,FALSE,-36.869,174.629
"62","Khyber Pass, Auckland Regional Council","A6487B",22164,2001-07-12,2011-07-19,FALSE,-36.86813,174.77063
"63","Henderson, Auckland Regional Council","A64865",12327,1994-11-16,2011-07-18,FALSE,-36.86261,174.63189
"64","Kumeu Ews, Auckland Regional Council","A64756",26492,2006-06-04,2011-01-31,FALSE,-36.77822,174.5574
"65","Auckland,Owairaka","A64971",1468,1950-12-31,2008-10-05,FALSE,-36.893,174.726
"66","Kerikeri Aero 2","A53293",1087,1978-03-14,2008-06-24,FALSE,-35.26469,173.91134
"67","Port Fitzroy, Great Barrier","A65132",1485,1961-09-21,2003-06-29,FALSE,-36.17139,175.36273
"68","Dargaville Ews","A53986",16137,1997-10-20,2002-05-31,FALSE,-35.944,173.835
