"","name","network","agent","start","end","open","lat","lon"
"1","Manapouri, West Arm Jetty Ews","I5752A",12482,1995-11-17,2024-08-24,TRUE,-45.52299,167.27485
"2","Albert Burn","I48391",35098,2008-01-25,2024-08-24,TRUE,-44.38112,168.92633
"3","Eglinton, Knobs Flat Cws","I48905",37382,2009-08-13,2024-08-24,TRUE,-44.97781,168.018
"4","Castle Mount Ews","F47873",38830,2011-04-14,2024-08-24,TRUE,-44.83407,167.77752
"5","Mt Larkins Ews","I48842",40257,2013-05-15,2024-08-24,TRUE,-44.88526,168.48044
"6","Five Rivers Cws","I58632",40845,2014-12-12,2024-08-24,TRUE,-45.6259,168.36702
"7","Te Anau At Park Hq Cws","I57477",41064,2015-07-10,2024-08-24,TRUE,-45.42214,167.71788
"8","Queenstown Ews","I58062",41331,2016-02-25,2024-08-24,TRUE,-45.03476,168.66364
"9","Milford Sound Ews","F47694",40987,2019-08-28,2024-08-24,TRUE,-44.67399,167.92299
"10","Manapouri Aero Aws","I57563",5430,1990-12-12,2024-08-23,TRUE,-45.53285,167.64162
"11","Queenstown Aero Aws","I58075",5451,1991-06-19,2024-08-23,TRUE,-45.01762,168.7402
"12","Secretary Island Aws","F56280",9533,1993-10-20,2024-08-23,TRUE,-45.22092,166.88498
"13","Milford Sound Aws","F47693",18309,2000-07-18,2024-08-23,TRUE,-44.6733,167.9243
"14","Murchison Mtns Ews","I57261",35614,2008-06-21,2024-08-23,TRUE,-45.22172,167.62988
"15","Takahe Valley Cws","I57262",37047,2009-05-15,2024-08-23,TRUE,-45.29644,167.68254
"16","Queenstown","I58061",5446,1871-08-31,2021-05-31,FALSE,-45.03476,168.66364
"17","Milford Sound","F47691",4107,1933-12-31,2019-10-09,FALSE,-44.67384,167.92406
"18","Manapouri,West Arm 2","I57522",5426,1971-12-31,1996-07-31,FALSE,-45.525,167.276
"19","Te Anau, Doc","I57473",5419,1972-01-01,1994-03-31,FALSE,-45.426,167.718
"20","Deep Cove 2","F57412",4138,1985-07-31,1994-01-31,FALSE,-45.467,167.152
"21","Queenstown Aero","I58074",5450,1971-12-31,1992-09-20,FALSE,-45.024,168.735
"22","Burwood Bush","I58502",5475,1986-10-07,1990-08-31,FALSE,-45.571,168.071
"23","Mt Luxmore","I57362",5413,1988-12-31,1989-12-31,FALSE,-45.388,167.619
"24","Iris Burn","I57451",5416,1988-11-30,1989-12-30,FALSE,-45.401,167.507
"25","Knobs Flat","I48901",5167,1982-08-31,1988-11-30,FALSE,-44.98,168.019
"26","Homer Tunnel Western","F47794",4118,1984-07-31,1988-11-30,FALSE,-44.764,167.974
"27","Homer Tunnel, Eastern","F47791",4115,1987-11-30,1988-11-30,FALSE,-44.765,167.994
"28","Gibbston Nevis Bluff","I58092",5456,1984-10-11,1987-05-31,FALSE,-45.041,168.979
"29","Takahe Valley","I57361",5412,1972-10-14,1987-05-30,FALSE,-45.299,167.681
"30","Borland Burn","I57751",5435,1974-10-31,1985-09-30,FALSE,-45.78,167.538
"31","Mid Dome","I58552",5479,1949-10-18,1976-10-31,FALSE,-45.571,168.504
"32","Borland Saddle","I57731",5434,1971-12-31,1972-04-30,FALSE,-45.733,167.367
"33","Nelson Aero","G13222",4241,1943-03-31,2024-08-24,TRUE,-41.299,173.226
"34","Blenheim Research Ews","G13495",12430,1996-05-31,2024-08-24,TRUE,-41.49891,173.96285
"35","Appleby 2 Ews","G13305",21937,2001-03-16,2024-08-24,TRUE,-41.31727,173.09482
"36","Takaka Ews","F02885",23849,2003-04-16,2024-08-24,TRUE,-40.86364,172.80568
"37","Arapito Ews","F12215",25777,2008-02-15,2024-08-24,TRUE,-41.27058,172.15568
"38","Wairau Valley, Mill Road Cws","G13543",36106,2008-09-22,2024-08-24,TRUE,-41.572,173.497
"39","Mahanga Ews","F22061",36857,2009-03-18,2024-08-24,TRUE,-42.01777,172.64677
"40","Richmond Ews","G13314",40751,2015-04-02,2024-08-24,TRUE,-41.32773,173.18615
"41","Kaikoura, Middle Creek","G23365",41125,2015-08-20,2024-08-24,TRUE,-42.36911,173.68037
"42","Farewell Spit Aws","F03502",3798,1981-12-31,2024-08-23,TRUE,-40.54483,173.00097
"43","Blenheim Aero Aws","G13585",4326,1990-09-07,2024-08-23,TRUE,-41.52135,173.86432
"44","Nelson Aero Aws","G13322",4271,1992-01-07,2024-08-23,TRUE,-41.30081,173.21608
"45","Cape Campbell Aws","G14722",4424,1999-08-31,2024-08-23,TRUE,-41.7265,174.2762
"46","Stephens Island Aws","G04602",26169,2018-09-18,2024-08-23,TRUE,-40.66511,173.99969
"47","Motueka, Riwaka Ews","G12195",12429,1995-03-31,2024-08-16,TRUE,-41.09798,172.97165
"48","Pelorus Sd, Crail Bay","G13195",4232,1982-05-04,2024-07-31,TRUE,-41.10308,173.96406
"49","Grassmere Salt Works","G14711",4420,1971-12-31,2024-03-31,FALSE,-41.729,174.145
"50","Stephens Island","G04601",4153,1972-12-31,2019-09-30,FALSE,-40.666,174.001
"51","Awatere Valley, Dashwood Raws","G14604",18468,2000-07-31,2013-09-11,FALSE,-41.64724,174.07274
"52","Arapito","F12213",3846,1978-05-09,2013-08-30,FALSE,-41.271,172.156
"53","Murchison Raws","F12839",16826,1998-04-29,2013-06-25,FALSE,-41.805,172.324
"54","St Arnaud Raws","F12885",31850,2006-12-06,2012-07-30,FALSE,-41.80779,172.84213
"55","Takaka, Kotinga 2","F02883",3789,1985-11-30,2012-06-30,FALSE,-40.882,172.801
"56","Maud Island","G13083",13585,1996-12-31,2011-06-30,FALSE,-41.025,173.896
"57","Lake Rotoiti 2","F12882",3892,1971-12-31,2006-02-28,FALSE,-41.80779,172.84213
"58","Seddon, Lucknow","G14703",11699,1999-04-01,2005-08-31,FALSE,-41.7225,174.07537
"59","Appleby Ews","G13212",12755,1996-09-24,2000-06-06,FALSE,-41.293,173.099
"60","Murchison Area School","F12837",3879,1989-01-31,1997-09-29,FALSE,-41.802,172.327
"61","Appleby","G13211",4239,1940-12-31,1996-12-12,FALSE,-41.293,173.099
"62","Blenheim Research","G13494",4310,1985-07-31,1996-05-31,FALSE,-41.498,173.963
"63","Motueka, Riwaka","G12191",4162,1971-12-31,1995-03-30,FALSE,-41.098,172.972
"64","Molesworth Aws","G23022",7427,1992-05-01,1994-08-23,FALSE,-42.087,173.26
"65","Brancott Valley","G13584",4325,1981-12-31,1994-01-31,FALSE,-41.545,173.845
"66","Lake Rotoroa","F12752",3862,1978-12-31,1993-12-23,FALSE,-41.797,172.59
"67","Molesworth","G23021",4461,1949-12-31,1993-01-30,FALSE,-42.088,173.258
"68","Totaranui 2","F03801",3799,1978-04-04,1989-12-31,FALSE,-40.825,172.999
"69","Spray Point Waihopai","G13741",4365,1987-03-31,1989-01-31,FALSE,-41.736,173.425
"70","Wairau Valley","G13553",4320,1984-07-31,1988-07-31,FALSE,-41.563,173.537
"71","Cobb Dam","F12162",3841,1971-12-31,1988-03-22,FALSE,-41.109,172.686
"72","Awatere Valley, Duntroon","G13871",4380,1984-08-06,1987-10-31,FALSE,-41.816,173.765
"73","Tapawera, Golden Downs","G12382",4177,1978-12-31,1987-07-30,FALSE,-41.392,172.807
"74","Rai Valley","G13251",4250,1971-12-31,1987-05-31,FALSE,-41.23,173.581
"75","Blenheim Aero","G13581",4322,1971-12-31,1987-03-31,FALSE,-41.52,173.872
"76","Cape Campbell","G14721",4423,1971-12-31,1986-09-24,FALSE,-41.731,174.274
"77","Moutere Hills","G13301",4260,1967-05-31,1986-05-31,FALSE,-41.359,173.075
"78","Waihopai Power Stn","G13651",4344,1971-12-31,1986-05-31,FALSE,-41.665,173.575
"79","Blenheim,Wither Hills","G13595",4333,1971-12-31,1986-04-30,FALSE,-41.543,173.961
"80","Kaikoura Flats","G23364",4498,1981-04-30,1986-01-31,FALSE,-42.381,173.657
"81","Blenheim","G13592",4331,1947-02-28,1985-08-31,FALSE,-41.511,173.954
"82","Vernon Lagoon","G14501",4411,1971-12-31,1984-06-30,FALSE,-41.533,174.033
"83","Farewell Spit","F03501",3797,1971-12-31,1984-06-27,FALSE,-40.549,173.008
"84","Karamea 2","F12214",3847,1978-05-11,1980-11-30,FALSE,-41.253,172.111
"85","Golden Downs Forest","G12581",4196,1929-12-31,1980-03-31,FALSE,-41.548,172.883
"86","Moutere Hills No2","G13302",4261,1976-12-31,1977-12-31,FALSE,-41.362,173.079
"87","Murchison School","F12835",3877,1971-12-31,1976-11-30,FALSE,-41.8,172.327
"88","Black Birch Range","G13783",4373,1971-12-31,1976-09-30,FALSE,-41.75,173.803
"89","Black Birch Observ.","G13772",4369,1975-12-31,1976-06-30,FALSE,-41.755,173.777
"90","Brightlands Bay","G13081",4211,1971-12-31,1976-04-30,FALSE,-41.066,173.857
"91","Elie Bay","G13194",4231,1972-09-18,1974-07-31,FALSE,-41.129,173.992
"92","Nelson","G13231",4244,1862-06-30,1920-12-31,FALSE,-41.275,173.295
"93","Nelson Aero","G13222",4241,1943-03-31,2024-08-24,TRUE,-41.299,173.226
"94","Blenheim Research Ews","G13495",12430,1996-05-31,2024-08-24,TRUE,-41.49891,173.96285
"95","Appleby 2 Ews","G13305",21937,2001-03-16,2024-08-24,TRUE,-41.31727,173.09482
"96","Baring Head","D14482",18234,2001-09-17,2024-08-24,TRUE,-41.40828,174.87146
"97","Wairau Valley, Mill Road Cws","G13543",36106,2008-09-22,2024-08-24,TRUE,-41.572,173.497
"98","Upper Hutt, Trentham Ews","E1510M",40750,2015-01-03,2024-08-24,TRUE,-41.14027,175.04283
"99","Richmond Ews","G13314",40751,2015-04-02,2024-08-24,TRUE,-41.32773,173.18615
"100","Kaikoura, Middle Creek","G23365",41125,2015-08-20,2024-08-24,TRUE,-42.36911,173.68037
"101","Wellington, Greta Point Cws","E1438H",41212,2015-10-14,2024-08-24,TRUE,-41.30243,174.80574
"102","Wellington Aero","E14387",3445,1971-12-31,2024-08-23,TRUE,-41.322,174.804
"103","Blenheim Aero Aws","G13585",4326,1990-09-07,2024-08-23,TRUE,-41.52135,173.86432
"104","Kaikoura Aws","G23464",4506,1991-04-08,2024-08-23,TRUE,-42.42038,173.69627
"105","Nelson Aero Aws","G13322",4271,1992-01-07,2024-08-23,TRUE,-41.30081,173.21608
"106","Cape Campbell Aws","G14722",4424,1999-08-31,2024-08-23,TRUE,-41.7265,174.2762
"107","Wellington, Kelburn Aws","E1427P",25354,2004-04-28,2024-08-23,TRUE,-41.28445,174.76794
"108","Mana Island Aws","E14073",25531,2006-11-23,2024-08-23,TRUE,-41.08676,174.77996
"109","Wellington Aero Backup Aws","E1438I",41229,2013-10-03,2024-08-23,TRUE,-41.3313,174.80566
"110","Stephens Island Aws","G04602",26169,2018-09-18,2024-08-23,TRUE,-40.66511,173.99969
"111","Brothers Island Aws","G14142",4395,1997-02-14,2024-08-22,TRUE,-41.1033,174.44174
"112","Porirua, Elsdon Park Aws","E1418H",41559,2017-04-29,2024-08-20,TRUE,-41.12683,174.83531
"113","Motueka, Riwaka Ews","G12195",12429,1995-03-31,2024-08-16,TRUE,-41.09798,172.97165
"114","Pelorus Sd, Crail Bay","G13195",4232,1982-05-04,2024-07-31,TRUE,-41.10308,173.96406
"115","Grassmere Salt Works","G14711",4420,1971-12-31,2024-03-31,FALSE,-41.729,174.145
"116","Stephens Island","G04601",4153,1972-12-31,2019-09-30,FALSE,-40.666,174.001
"117","Mana Island","E14072",3334,1987-08-31,2018-07-30,FALSE,-41.09429,174.78517
"118","Wallaceville Ews","E1510G",17029,1998-12-10,2015-08-17,FALSE,-41.1354,175.05275
"119","Awatere Valley, Dashwood Raws","G14604",18468,2000-07-31,2013-09-11,FALSE,-41.64724,174.07274
"120","Kaikoura Aero","G23451",39481,2012-08-15,2013-02-19,FALSE,-42.426,173.599
"121","St Arnaud Raws","F12885",31850,2006-12-06,2012-07-30,FALSE,-41.80779,172.84213
"122","Maud Island","G13083",13585,1996-12-31,2011-06-30,FALSE,-41.025,173.896
"123","Wallaceville","E15102",3477,1971-12-31,2006-08-31,FALSE,-41.135,175.052
"124","Lake Rotoiti 2","F12882",3892,1971-12-31,2006-02-28,FALSE,-41.80779,172.84213
"125","Wellington, Kelburn","E14272",3385,1930-12-31,2005-08-31,FALSE,-41.286,174.767
"126","Seddon, Lucknow","G14703",11699,1999-04-01,2005-08-31,FALSE,-41.7225,174.07537
"127","Appleby Ews","G13212",12755,1996-09-24,2000-06-06,FALSE,-41.293,173.099
"128","Appleby","G13211",4239,1940-12-31,1996-12-12,FALSE,-41.293,173.099
"129","Blenheim Research","G13494",4310,1985-07-31,1996-05-31,FALSE,-41.498,173.963
"130","Motueka, Riwaka","G12191",4162,1971-12-31,1995-03-30,FALSE,-41.098,172.972
"131","Molesworth Aws","G23022",7427,1992-05-01,1994-08-23,FALSE,-42.087,173.26
"132","Wainuiomata Coast Rd","E14296",3424,1971-12-31,1994-01-31,FALSE,-41.291,174.95
"133","Brancott Valley","G13584",4325,1981-12-31,1994-01-31,FALSE,-41.545,173.845
"134","Molesworth","G23021",4461,1949-12-31,1993-01-30,FALSE,-42.088,173.258
"135","Lower Hutt,Gracefield","E14290",3418,1971-12-31,1992-06-28,FALSE,-41.236,174.919
"136","Kaikoura Weather Stn","G23471",4507,1971-12-31,1991-09-18,FALSE,-42.421,173.691
"137","Lower Hutt,Avalon","E14195",3369,1971-12-31,1991-04-30,FALSE,-41.191,174.941
"138","Totaranui 2","F03801",3799,1978-04-04,1989-12-31,FALSE,-40.825,172.999
"139","Rimutaka Forest","E14393",3450,1982-04-12,1989-12-31,FALSE,-41.356,174.911
"140","Somes Is","E14285",3399,1975-02-04,1989-05-31,FALSE,-41.26,174.864
"141","Spray Point Waihopai","G13741",4365,1987-03-31,1989-01-31,FALSE,-41.736,173.425
"142","Wairau Valley","G13553",4320,1984-07-31,1988-07-31,FALSE,-41.563,173.537
"143","Titahi Bay,Te Pene Av","E14187",3361,1981-11-10,1988-05-31,FALSE,-41.118,174.836
"144","Awatere Valley, Duntroon","G13871",4380,1984-08-06,1987-10-31,FALSE,-41.816,173.765
"145","Tapawera, Golden Downs","G12382",4177,1978-12-31,1987-07-30,FALSE,-41.392,172.807
"146","Rai Valley","G13251",4250,1971-12-31,1987-05-31,FALSE,-41.23,173.581
"147","Wellington High, D Pk","E1427H",3382,1979-12-31,1987-04-30,FALSE,-41.263,174.784
"148","Paraparaumu Edr","E04993",3147,1985-05-01,1987-04-30,FALSE,-40.905,174.982
"149","Blenheim Aero","G13581",4322,1971-12-31,1987-03-31,FALSE,-41.52,173.872
"150","Kapiti Island","E04891",3144,1971-12-31,1987-02-28,FALSE,-40.85463,174.93163
"151","Cape Campbell","G14721",4423,1971-12-31,1986-09-24,FALSE,-41.731,174.274
"152","Moutere Hills","G13301",4260,1967-05-31,1986-05-31,FALSE,-41.359,173.075
"153","Waihopai Power Stn","G13651",4344,1971-12-31,1986-05-31,FALSE,-41.665,173.575
"154","Blenheim,Wither Hills","G13595",4333,1971-12-31,1986-04-30,FALSE,-41.543,173.961
"155","Kaikoura Flats","G23364",4498,1981-04-30,1986-01-31,FALSE,-42.381,173.657
"156","Blenheim","G13592",4331,1947-02-28,1985-08-31,FALSE,-41.511,173.954
"157","Vernon Lagoon","G14501",4411,1971-12-31,1984-06-30,FALSE,-41.533,174.033
"158","Lower Hutt,Taita","E14192",3366,1971-12-31,1982-10-31,FALSE,-41.182,174.964
"159","Golden Downs Forest","G12581",4196,1929-12-31,1980-03-31,FALSE,-41.548,172.883
"160","Porirua","E14185",3359,1971-12-31,1980-03-31,FALSE,-41.149,174.857
"161","Wellington,Karori","E14279",3392,1971-12-31,1979-12-31,FALSE,-41.284,174.737
"162","Pauatahanui","E14197",3371,1972-01-02,1978-07-31,FALSE,-41.109,174.91
"163","Moutere Hills No2","G13302",4261,1976-12-31,1977-12-31,FALSE,-41.362,173.079
"164","Black Birch Range","G13783",4373,1971-12-31,1976-09-30,FALSE,-41.75,173.803
"165","Black Birch Observ.","G13772",4369,1975-12-31,1976-06-30,FALSE,-41.755,173.777
"166","Brightlands Bay","G13081",4211,1971-12-31,1976-04-30,FALSE,-41.066,173.857
"167","Makara","E14273",3386,1971-12-31,1975-08-31,FALSE,-41.253,174.694
"168","Elie Bay","G13194",4231,1972-09-18,1974-07-31,FALSE,-41.129,173.992
"169","Mangaroa At Tasman Vaccine","E15204",3496,1971-12-31,1972-08-30,FALSE,-41.195,175.015
"170","Nelson","G13231",4244,1862-06-30,1920-12-31,FALSE,-41.275,173.295
"171","Hanmer Forest Ews","G22582",11234,1995-05-03,2024-08-24,TRUE,-42.53433,172.85098
"172","Blenheim Research Ews","G13495",12430,1996-05-31,2024-08-24,TRUE,-41.49891,173.96285
"173","Cheviot Ews","H23825",31832,2007-07-19,2024-08-24,TRUE,-42.82722,173.22409
"174","Wairau Valley, Mill Road Cws","G13543",36106,2008-09-22,2024-08-24,TRUE,-41.572,173.497
"175","Waiau School Cws","H23605",36157,2008-09-25,2024-08-24,TRUE,-42.653,173.043
"176","Mahanga Ews","F22061",36857,2009-03-18,2024-08-24,TRUE,-42.01777,172.64677
"177","Kaikoura, Middle Creek","G23365",41125,2015-08-20,2024-08-24,TRUE,-42.36911,173.68037
"178","Medbury Cws","H22863",41282,2015-12-03,2024-08-24,TRUE,-42.88031,172.68964
"179","Balmoral East Cws","H22881",42704,2017-06-29,2024-08-24,TRUE,-42.83025,172.83463
"180","Blenheim Aero Aws","G13585",4326,1990-09-07,2024-08-23,TRUE,-41.52135,173.86432
"181","Kaikoura Aws","G23464",4506,1991-04-08,2024-08-23,TRUE,-42.42038,173.69627
"182","Cape Campbell Aws","G14722",4424,1999-08-31,2024-08-23,TRUE,-41.7265,174.2762
"183","Culverden Aws","H22785",37651,2009-10-06,2024-08-23,TRUE,-42.77014,172.88947
"184","Grassmere Salt Works","G14711",4420,1971-12-31,2024-03-31,FALSE,-41.729,174.145
"185","Balmoral West Cws","H22753",43342,2017-03-15,2018-09-30,FALSE,-42.79389,172.57015
"186","Awatere Valley, Dashwood Raws","G14604",18468,2000-07-31,2013-09-11,FALSE,-41.64724,174.07274
"187","Kaikoura Aero","G23451",39481,2012-08-15,2013-02-19,FALSE,-42.426,173.599
"188","St Arnaud Raws","F12885",31850,2006-12-06,2012-07-30,FALSE,-41.80779,172.84213
"189","Culverden","H22783",4527,1983-01-13,2009-11-29,FALSE,-42.77382,172.85112
"190","Lake Rotoiti 2","F12882",3892,1971-12-31,2006-02-28,FALSE,-41.80779,172.84213
"191","Seddon, Lucknow","G14703",11699,1999-04-01,2005-08-31,FALSE,-41.7225,174.07537
"192","Blenheim Research","G13494",4310,1985-07-31,1996-05-31,FALSE,-41.498,173.963
"193","Cheviot","H23822",4566,1982-11-01,1995-10-31,FALSE,-42.812,173.277
"194","Hanmer Forest","G22581",4458,1971-12-31,1995-03-31,FALSE,-42.522,172.854
"195","Molesworth Aws","G23022",7427,1992-05-01,1994-08-23,FALSE,-42.087,173.26
"196","Brancott Valley","G13584",4325,1981-12-31,1994-01-31,FALSE,-41.545,173.845
"197","Molesworth","G23021",4461,1949-12-31,1993-01-30,FALSE,-42.088,173.258
"198","Kaikoura Weather Stn","G23471",4507,1971-12-31,1991-09-18,FALSE,-42.421,173.691
"199","Balmoral Forest","H22871",4532,1929-12-31,1991-01-31,FALSE,-42.866,172.749
"200","Waiau, Lyndon St","H23604",4555,1984-03-31,1989-12-31,FALSE,-42.66,173.041
"201","Spray Point Waihopai","G13741",4365,1987-03-31,1989-01-31,FALSE,-41.736,173.425
"202","Wairau Valley","G13553",4320,1984-07-31,1988-07-31,FALSE,-41.563,173.537
"203","Awatere Valley, Duntroon","G13871",4380,1984-08-06,1987-10-31,FALSE,-41.816,173.765
"204","Rai Valley","G13251",4250,1971-12-31,1987-05-31,FALSE,-41.23,173.581
"205","Blenheim Aero","G13581",4322,1971-12-31,1987-03-31,FALSE,-41.52,173.872
"206","Waipara","H32073",4797,1972-12-31,1987-02-28,FALSE,-43.066,172.754
"207","Cape Campbell","G14721",4423,1971-12-31,1986-09-24,FALSE,-41.731,174.274
"208","Waihopai Power Stn","G13651",4344,1971-12-31,1986-05-31,FALSE,-41.665,173.575
"209","Blenheim,Wither Hills","G13595",4333,1971-12-31,1986-04-30,FALSE,-41.543,173.961
"210","Kaikoura Flats","G23364",4498,1981-04-30,1986-01-31,FALSE,-42.381,173.657
"211","Blenheim","G13592",4331,1947-02-28,1985-08-31,FALSE,-41.511,173.954
