"","name","network","agent","start","end","open","lat","lon"
"1","Lauder Ews","I59065",5535,1985-08-31,2024-08-26,TRUE,-45.0401,169.68419
"2","Cromwell Ews","I59013",26381,2006-04-06,2024-08-26,TRUE,-45.03392,169.1955
"3","Albert Burn","I48391",35098,2008-01-25,2024-08-26,TRUE,-44.38112,168.92633
"4","Eglinton, Knobs Flat Cws","I48905",37382,2009-08-13,2024-08-26,TRUE,-44.97781,168.018
"5","Castle Mount Ews","F47873",38830,2011-04-14,2024-08-26,TRUE,-44.83407,167.77752
"6","Clyde 2 Ews","I5923C",39564,2011-05-25,2024-08-26,TRUE,-45.20342,169.3182
"7","Mt Larkins Ews","I48842",40257,2013-05-15,2024-08-26,TRUE,-44.88526,168.48044
"8","Waipounamu Cws","I58872",40639,2014-06-28,2024-08-26,TRUE,-45.82525,168.71649
"9","Five Rivers Cws","I58632",40845,2014-12-12,2024-08-26,TRUE,-45.6259,168.36702
"10","Te Anau At Park Hq Cws","I57477",41064,2015-07-10,2024-08-26,TRUE,-45.42214,167.71788
"11","Wanaka Cws","I49614",41237,2015-10-29,2024-08-26,TRUE,-44.69965,169.14273
"12","Queenstown Ews","I58062",41331,2016-02-25,2024-08-26,TRUE,-45.03476,168.66364
"13","Gore Ews","I68197",42975,2017-06-02,2024-08-26,TRUE,-46.12375,168.91938
"14","Alexandra Ews","I5923E",43904,2019-04-19,2024-08-26,TRUE,-45.25458,169.38448
"15","Milford Sound Ews","F47694",40987,2019-08-28,2024-08-26,TRUE,-44.67399,167.92299
"16","Tapanui Ews","I59923",44640,2020-12-22,2024-08-26,TRUE,-45.944,169.257
"17","Lumsden Aws","I58744",5496,1981-12-31,2024-08-25,TRUE,-45.74512,168.44975
"18","Gore Aws","I68182",5778,1986-07-11,2024-08-25,TRUE,-46.11171,168.8876
"19","Manapouri Aero Aws","I57563",5430,1990-12-12,2024-08-25,TRUE,-45.53285,167.64162
"20","Queenstown Aero Aws","I58075",5451,1991-06-19,2024-08-25,TRUE,-45.01762,168.7402
"21","Wanaka Aero Aws","I49723",7426,1992-05-06,2024-08-25,TRUE,-44.722,169.244
"22","Milford Sound Aws","F47693",18309,2000-07-18,2024-08-25,TRUE,-44.6733,167.9243
"23","Murchison Mtns Ews","I57261",35614,2008-06-21,2024-08-25,TRUE,-45.22172,167.62988
"24","Takahe Valley Cws","I57262",37047,2009-05-15,2024-08-25,TRUE,-45.29644,167.68254
"25","Roxburgh Wxt Aws","I59534",38673,2010-05-12,2024-08-25,TRUE,-45.51717,169.31316
"26","Birchwood Wxt Aws","I57992",38674,2010-05-15,2024-08-25,TRUE,-45.94412,167.90081
"27","Alexandra Aws","I5923D",41163,2013-05-13,2024-08-25,TRUE,-45.21452,169.37549
"28","Ophir 2","I59161",5544,1924-04-01,2024-07-31,FALSE,-45.10611,169.61056
"29","Alexandra","I59236",5578,1985-01-03,2024-07-31,FALSE,-45.246,169.38956
"30","Ettrick No.2","I59633",5645,1985-01-21,2024-07-31,FALSE,-45.623,169.348
"31","Queenstown","I58061",5446,1871-08-31,2021-05-31,FALSE,-45.03476,168.66364
"32","Alexandra Cws","I5923B",36592,2008-11-18,2021-02-22,FALSE,-45.25366,169.39205
"33","Tapanui","I59921",5686,1900-03-31,2020-12-07,FALSE,-45.944,169.257
"34","Winton 2","I68133",5768,1971-12-31,2019-12-31,FALSE,-46.157,168.328
"35","Milford Sound","F47691",4107,1933-12-31,2019-10-09,FALSE,-44.67384,167.92406
"36","Riversdale Aquifer @ York Road","I58973",38645,2011-02-18,2017-01-20,FALSE,-45.90358,168.73871
"37","Clyde Ews","I59239",12431,1996-06-15,2012-10-11,FALSE,-45.20724,169.31478
"38","St Bathans, Post Office","I49884",18225,2000-05-05,2010-11-14,FALSE,-44.87336,169.81084
"39","Wanaka Airport","I49724",25480,2009-11-16,2010-01-25,FALSE,-44.725,169.243
"40","Cromwell 2","I59024",5529,1984-07-03,2007-07-31,FALSE,-45.035,169.195
"41","Clyde Dam","I59133",5543,1978-04-30,2007-06-30,FALSE,-45.19,169.311
"42","Wreys Bush Raws","I68011",18603,2000-10-30,2005-05-25,FALSE,-46.02861,168.11083
"43","Edievale 2","I59732",5670,2004-02-02,2004-11-07,FALSE,-45.80245,169.36889
"44","St Bathans 3","I49883",5239,1992-08-07,1999-02-26,FALSE,-44.875,169.823
"45","Clyde, Earnscleugh","I59235",5577,1983-02-28,1996-05-31,FALSE,-45.207,169.313
"46","Te Anau, Doc","I57473",5419,1972-01-01,1994-03-31,FALSE,-45.426,167.718
"47","Alexandra, Theyers St","I59238",5580,1983-10-09,1994-01-31,FALSE,-45.254,169.381
"48","Wanaka, Park Hq","I49613",5217,1990-09-06,1994-01-31,FALSE,-44.696,169.142
"49","Queenstown Aero","I58074",5450,1971-12-31,1992-09-20,FALSE,-45.024,168.735
"50","Bendigo 2","I49932",5243,1978-04-30,1992-05-31,FALSE,-44.93352,169.30377
"51","Northburn","I59023",5528,1978-10-31,1992-05-31,FALSE,-45.00785,169.23298
